Genes	Categories
A0A3L8DQA1	ko00000
A0A3L8DQA1	ko00001
A0A3L8DQA1	ko01009
A0A3L8DP05	ko00000
A0A3L8DP05	ko00001
A0A3L8DP05	ko01000
A0A3L8DP05	ko03036
A0A3L8DP05	ko04121
A0A026WLY5	ko00000
A0A026WLY5	ko00001
A0A026WLY5	ko02000
A0A026WLY5	ko04090
A0A3L8DRE4	ko00000
A0A3L8DRE4	ko00001
A0A3L8DRE4	ko00002
A0A3L8DRE4	ko01000
A0A3L8DRE4	ko04147
A0A026X5K2	ko00000
A0A026X5K2	ko00001
A0A026X5K2	ko00002
A0A026X5K2	ko03032
A0A026X5K2	ko03036
A0A026X5K2	ko03400
A0A3L8DUL4	ko00000
A0A3L8DUL4	ko01000
A0A3L8DS11	ko00000
A0A3L8DS11	ko00001
A0A3L8DS11	ko00002
A0A3L8DS11	ko01000
A0A026WEI7	ko00000
A0A026WEI7	ko00001
A0A026WEI7	ko04131
A0A3L8DXJ0	ko00000
A0A3L8DXJ0	ko00001
A0A3L8DXJ0	ko00002
A0A3L8DXJ0	ko01000
A0A3L8DXJ0	ko01003
A0A3L8DHJ7	ko00000
A0A3L8DHJ7	ko03009
A0A3L8E3C8	ko00000
A0A3L8E3C8	ko01000
A0A3L8E3C8	ko01002
A0A3L8E3C8	ko04121
A0A3L8DPN1	ko00000
A0A3L8DPN1	ko00001
A0A3L8DPN1	ko01000
A0A026WBN0	ko00000
A0A026WBN0	ko04812
A0A026WK05	ko00000
A0A026WK05	ko00001
A0A026WK05	ko01000
A0A026WK05	ko03036
A0A026WWB3	ko00000
A0A026WWB3	ko00001
A0A026WWB3	ko00002
A0A3L8DL95	ko00000
A0A3L8DL95	ko04030
A0A3L8D553	ko00000
A0A3L8D553	ko00001
A0A3L8D553	ko04031
A0A3L8D553	ko04147
A0A026W6H8	ko00000
A0A026W6H8	ko02000
A0A3L8DT55	ko00000
A0A3L8DT55	ko00001
A0A3L8DT55	ko00002
A0A3L8DT55	ko01000
A0A3L8DT55	ko01003
A0A3L8E554	ko00000
A0A3L8E554	ko00001
A0A3L8E554	ko03012
A0A026WY26	ko00000
A0A026WY26	ko00001
A0A026WY26	ko00002
A0A026WY26	ko03019
A0A026WY26	ko03041
A0A026WX84	ko00000
A0A026WX84	ko00001
A0A026WX84	ko01000
A0A026WX84	ko01009
A0A026WX84	ko04516
A0A3L8DSQ7	ko00000
A0A3L8DSQ7	ko00001
A0A3L8DSQ7	ko03041
A0A026WML2	ko00000
A0A026WML2	ko00001
A0A026WML2	ko04040
A0A026VVY6	ko00000
A0A026VVY6	ko04812
A0A026WKS2	ko00000
A0A026WKS2	ko00001
A0A026WKS2	ko00002
A0A026WKS2	ko01000
A0A026WKS2	ko03032
A0A026WKS2	ko03400
A0A026WQC9	ko00000
A0A026WQC9	ko02000
A0A3L8D802	ko00000
A0A3L8D802	ko01000
A0A3L8D802	ko01002
A0A3L8E4L5	ko00000
A0A3L8E4L5	ko00001
A0A3L8E4L5	ko01000
A0A3L8E4L5	ko03019
A0A3L8E4L5	ko04121
A0A3L8DI82	ko00000
A0A3L8DI82	ko00001
A0A3L8DI82	ko00002
A0A3L8DI82	ko01000
A0A026W864	ko00000
A0A026W864	ko02000
A0A3L8E0C2	ko00000
A0A3L8E0C2	ko04030
A0A026WWS2	ko00000
A0A026WWS2	ko03036
A0A026X295	ko00000
A0A026X295	ko00001
A0A026X295	ko00002
A0A026X295	ko03000
A0A026WGP0	ko00000
A0A026WP86	ko00000
A0A026WP86	ko00001
A0A026WP86	ko01000
A0A026WP86	ko03036
A0A3L8DSJ0	ko00000
A0A3L8DSJ0	ko00001
A0A3L8DSJ0	ko03110
A0A3L8DSJ0	ko04516
A0A026WRM6	ko00000
A0A026WRM6	ko04131
A0A3L8E1D1	ko00000
A0A3L8E1D1	ko00001
A0A3L8E1D1	ko01000
A0A3L8DLI6	ko00000
A0A3L8DLI6	ko01000
A0A3L8DLI6	ko01001
A0A3L8DLI6	ko03036
A0A3L8DLI6	ko03400
A0A026WIB5	ko00000
A0A026WIB5	ko04030
A0A3L8DX18	ko00000
A0A3L8DX18	ko01000
A0A026WDB7	ko00000
A0A026WDB7	ko00001
A0A026WPM4	ko00000
A0A026WPM4	ko00001
A0A026WPM4	ko00002
A0A026WPM4	ko01000
A0A026WPM4	ko04147
A0A026WZV1	ko00000
A0A026WZV1	ko00001
A0A026WZV1	ko02000
A0A3L8DWH6	ko00000
A0A3L8DWH6	ko00001
A0A3L8DWH6	ko01000
A0A3L8DWH6	ko01001
A0A026WEL0	ko00000
A0A026WEL0	ko03000
A0A026WSP8	ko00000
A0A026WSP8	ko00001
A0A026WSP8	ko01000
A0A026W1W9	br01610
A0A026W1W9	ko00000
A0A026W1W9	ko00001
A0A026W1W9	ko00002
A0A026W1W9	ko03011
A0A3L8D820	ko00000
A0A3L8D820	ko04121
A0A026WWP0	ko00000
A0A026WWP0	ko04812
A0A026WVL8	ko00000
A0A026WVL8	ko04131
A0A026WB40	ko00000
A0A026WB40	ko00001
A0A026WB40	ko03019
A0A3L8E4B8	ko00000
A0A3L8E4B8	ko04040
A0A026WU27	ko00000
A0A026WU27	ko01009
A0A026WU27	ko03036
A0A3L8DEP6	ko00000
A0A3L8DEP6	ko00001
A0A3L8DEP6	ko01000
A0A3L8DEP6	ko01003
A0A3L8DTZ4	ko00000
A0A3L8DTZ4	ko00001
A0A3L8DTZ4	ko00002
A0A3L8DTZ4	ko04131
A0A3L8DHF0	ko00000
A0A3L8DHF0	ko00001
A0A3L8DHF0	ko01000
A0A3L8DHF0	ko03009
A0A026WCL7	ko00000
A0A026WCL7	ko00001
A0A026WCL7	ko00002
A0A026WCL7	ko03032
A0A026WCL7	ko03036
A0A3L8DZX9	ko00000
A0A3L8DZX9	ko00001
A0A3L8DZX9	ko00002
A0A3L8DZX9	ko01000
A0A026WJY9	ko00000
A0A026WJY9	ko04131
A0A026VZV3	ko00000
A0A026VZV3	ko00001
A0A026VZV3	ko00002
A0A026VZV3	ko03041
A0A026W376	ko00000
A0A026W376	ko00001
A0A026W376	ko02000
A0A026WTZ3	ko00000
A0A026WTZ3	ko03000
A0A026WSP2	ko00000
A0A026WSP2	ko03041
A0A026WDL5	ko00000
A0A026WDL5	ko00001
A0A026WDL5	ko03110
A0A026WQZ0	ko00000
A0A026WQZ0	ko03036
A0A026WQZ0	ko04812
A0A3L8DIZ7	ko00000
A0A3L8DIZ7	ko00001
A0A3L8DIZ7	ko02000
A0A3L8D387	ko00000
A0A3L8D387	ko03041
A0A3L8E444	ko00000
A0A3L8E444	ko03036
A0A026WFH6	ko00000
A0A026WFH6	ko01000
A0A3L8E022	ko00000
A0A3L8E022	ko00001
A0A3L8E022	ko00002
A0A3L8E022	ko01000
A0A3L8E022	ko04131
A0A026WUB2	ko00000
A0A026WUB2	ko04131
A0A3L8D9R6	ko00000
A0A3L8D9R6	ko03009
A0A3L8D407	ko00000
A0A3L8D407	ko00001
A0A3L8D407	ko00002
A0A3L8D407	ko01000
A0A026WR88	ko00000
A0A026WR88	ko00001
A0A026WR88	ko03041
A0A026WJT3	ko00000
A0A026WJT3	ko04131
A0A026X2Y4	ko00000
A0A026X2Y4	ko00001
A0A026X2Y4	ko00002
A0A026X2Y4	ko01000
A0A026X2Y4	ko04147
A0A3L8E099	ko00000
A0A3L8E099	ko02000
A0A3L8E099	ko03029
A0A3L8DSC0	ko00000
A0A3L8DSC0	ko00001
A0A3L8DSC0	ko01000
A0A3L8DSC0	ko01009
A0A026WES3	ko00000
A0A026WES3	ko04030
A0A026W628	ko00000
A0A026W628	ko00001
A0A026W628	ko00002
A0A026W628	ko01000
A0A026W628	ko03019
A0A026W628	ko04147
A0A026WFT8	ko00000
A0A026WFT8	ko03041
A0A3L8DE55	ko00000
A0A3L8DE55	ko00001
A0A3L8DE55	ko00002
A0A3L8DE55	ko01000
A0A3L8DE55	ko01007
A0A026WHP3	ko00000
A0A026WHP3	ko00001
A0A026WHP3	ko04131
A0A3L8D2V2	ko00000
A0A3L8D2V2	ko00001
A0A3L8D2V2	ko00002
A0A3L8D2V2	ko03032
A0A3L8D2V2	ko03400
A0A026WFX4	ko00000
A0A026WFX4	ko00001
A0A026WFX4	ko01000
A0A026WFX4	ko03036
A0A026W1P1	ko00000
A0A026W1P1	ko00001
A0A026W1P1	ko00002
A0A026W1P1	ko01000
A0A026W1P1	ko01001
A0A026W1P1	ko01020
A0A026W1P1	ko04050
A0A3L8E1D6	ko00000
A0A3L8E1D6	ko00001
A0A3L8E1D6	ko00002
A0A3L8E1D6	ko01000
A0A026X2Y8	ko00000
A0A026X2Y8	ko00001
A0A026X2Y8	ko01000
A0A026X2Y8	ko01002
A0A026X2Y8	ko04090
A0A026X2Y8	ko04131
A0A026X2Y8	ko04147
A0A026WY89	ko00000
A0A026WY89	ko00001
A0A026WKY2	ko00000
A0A026WKY2	ko00001
A0A026WKY2	ko03400
A0A026WNC3	br01610
A0A026WNC3	ko00000
A0A026WNC3	ko00001
A0A026WNC3	ko00002
A0A026WNC3	ko03011
A0A3L8DMU7	ko00000
A0A3L8DMU7	ko04040
A0A3L8DMF6	br01601
A0A3L8DMF6	ko00000
A0A3L8DMF6	ko00001
A0A3L8DMF6	ko00002
A0A3L8DMF6	ko01000
A0A026VZI1	ko00000
A0A026VZI1	ko00001
A0A026VZI1	ko04131
A0A026WLT2	ko00000
A0A026WLT2	ko04131
A0A026W7K5	ko00000
A0A026W7K5	ko00001
A0A026W7K5	ko01000
A0A026W7K5	ko01004
A0A026WFC4	ko00000
A0A026WFC4	ko04040
A0A026W6X1	ko00000
A0A026W6X1	ko03041
A0A026WBW5	ko00000
A0A026WBW5	ko03036
A0A026X165	ko00000
A0A026X165	ko00001
A0A026X165	ko04131
A0A3L8DEB3	ko00000
A0A3L8DEB3	ko00001
A0A3L8DEB3	ko01000
A0A3L8DH22	ko00000
A0A3L8DH22	ko04131
A0A3L8D4L8	ko00000
A0A3L8D4L8	ko00001
A0A3L8D4L8	ko00002
A0A3L8D4L8	ko03019
A0A3L8D4L8	ko03041
A0A026WWN8	ko00000
A0A026WWN8	ko00001
A0A026WWN8	ko00002
A0A026WWN8	ko01000
A0A026WWN8	ko03036
A0A026WWN8	ko04131
A0A026WWN8	ko04147
A0A3L8DQR8	ko00000
A0A3L8DQR8	ko00001
A0A3L8DQR8	ko01000
A0A026VVE5	ko00000
A0A026VVE5	ko02000
A0A026WI58	ko00000
A0A026WI58	ko04131
A0A3L8DRF5	ko00000
A0A3L8DRF5	ko04030
A0A3L8DQ25	ko00000
A0A3L8DQ25	ko00199
A0A3L8DQ25	ko01000
A0A3L8DNW9	ko00000
A0A3L8DNW9	ko00001
A0A3L8DNW9	ko01000
A0A3L8DDJ1	ko00000
A0A3L8DDJ1	ko04516
A0A026VYL7	ko00000
A0A026VYL7	ko03036
A0A026WCC4	ko00000
A0A026WCC4	ko04040
A0A3L8DHQ7	ko00000
A0A3L8DHQ7	ko00001
A0A3L8DHQ7	ko00002
A0A3L8DHQ7	ko01000
A0A3L8DHQ7	ko03041
A0A3L8E1M4	ko00000
A0A3L8E1M4	ko04040
A0A026WDR5	ko00000
A0A026WDR5	ko00001
A0A026X3A5	ko00000
A0A026X3A5	ko00199
A0A026X3A5	ko01000
A0A3L8DDC4	ko00000
A0A3L8DDC4	ko00001
A0A3L8DDC4	ko01000
A0A3L8DJX7	ko00000
A0A3L8DJX7	ko00001
A0A3L8DJX7	ko01000
A0A026W8R9	ko00000
A0A026W8R9	ko04030
A0A3L8E1W0	ko00000
A0A3L8D3C4	ko00000
A0A3L8D3C4	ko00001
A0A3L8D3C4	ko04090
A0A026VSW2	ko00000
A0A026VSW2	ko00001
A0A026VSW2	ko00002
A0A026VSW2	ko01000
A0A026VSW2	ko02044
A0A026X082	ko00000
A0A026X082	ko03036
A0A026X082	ko04812
A0A026WF38	ko00000
A0A026WF38	ko00001
A0A026WF38	ko01000
A0A026WF38	ko03019
A0A026WF38	ko03032
A0A3L8D3F0	ko00000
A0A3L8D3F0	ko01000
A0A3L8DGQ8	ko00000
A0A3L8DGQ8	ko03016
A0A026WQ54	ko00000
A0A026WQ54	ko00001
A0A026WQ54	ko03036
A0A026WLS1	ko00000
A0A026WLS1	ko00001
A0A026WLS1	ko00002
A0A026WLS1	ko01000
A0A026WLS1	ko01002
A0A3L8DTK5	ko00000
A0A026X0N9	ko00000
A0A026X0N9	ko00001
A0A026X0N9	ko02000
A0A026X0N9	ko03029
A0A026WSG2	ko00000
A0A026WSG2	ko00001
A0A026WSG2	ko04131
A0A026WJN8	ko00000
A0A026WJN8	ko00001
A0A3L8D6Y6	ko00000
A0A3L8D6Y6	ko00001
A0A3L8D6Y6	ko01000
A0A3L8DXC5	ko00000
A0A3L8DXC5	ko00001
A0A3L8DXC5	ko00002
A0A3L8DXC5	ko01000
A0A3L8DC35	ko00000
A0A3L8DC35	ko00001
A0A3L8DC35	ko03041
A0A026WYP7	ko00000
A0A026WYP7	ko03036
A0A026VWX4	ko00000
A0A026VWX4	ko00001
A0A026VWX4	ko03029
A0A026VWX4	ko04121
A0A026VWX4	ko04131
A0A026VWX4	ko04812
A0A026W3E6	ko00000
A0A026W3E6	ko01009
A0A026WD84	ko00000
A0A026WD84	ko00001
A0A026WD84	ko01000
A0A026WD84	ko01009
A0A3L8E1P5	ko00000
A0A3L8E1P5	ko01000
A0A3L8E1P5	ko03036
A0A026WRG2	ko00000
A0A026WRG2	ko00001
A0A026WRG2	ko03000
A0A3L8E457	ko00000
A0A3L8E457	ko00001
A0A3L8E457	ko01000
A0A3L8E457	ko01001
A0A026WVI4	ko00000
A0A026WVI4	ko00001
A0A026WVI4	ko03019
A0A026X135	ko00000
A0A026X135	ko00001
A0A026X135	ko00002
A0A026X135	ko01000
A0A026X135	ko01007
A0A026X135	ko03016
A0A3L8D5Z3	ko00000
A0A3L8D5Z3	ko03036
A0A3L8DI37	ko00000
A0A3L8DI37	ko04131
A0A3L8DNH2	ko00000
A0A3L8DNH2	ko00001
A0A3L8DNH2	ko01000
A0A3L8DNH2	ko01009
A0A026WNK6	ko00000
A0A026WNK6	ko01000
A0A026WNK6	ko01002
A0A026VUI6	ko00000
A0A026VUI6	ko04040
A0A3L8DCG5	ko00000
A0A3L8DCG5	ko03036
A0A3L8DA68	ko00000
A0A3L8DA68	ko00001
A0A3L8DA68	ko01000
A0A3L8DA68	ko03000
A0A3L8DA68	ko03036
A0A026W2Y3	ko00000
A0A026W2Y3	ko01000
A0A026W2Y3	ko03016
A0A026W644	ko00000
A0A026W644	ko00001
A0A026W644	ko01000
A0A026W644	ko04147
A0A026X315	ko00000
A0A026X315	ko00001
A0A026X315	ko01000
A0A3L8DRC8	ko00000
A0A3L8DRC8	ko03036
A0A3L8DRC8	ko03041
A0A026WJ74	ko00000
A0A026WJ74	ko00001
A0A026WJ74	ko01000
A0A3L8DM15	br01611
A0A3L8DM15	ko00000
A0A3L8DM15	ko00001
A0A3L8DM15	ko00002
A0A3L8DM15	ko03021
A0A026WLL8	ko00000
A0A026WLL8	ko00001
A0A026WLL8	ko01000
A0A026WLL8	ko01009
A0A3L8E474	ko00000
A0A3L8E474	ko00001
A0A3L8E474	ko00002
A0A3L8E474	ko01000
A0A3L8E474	ko01007
A0A3L8E474	ko03016
A0A3L8E474	ko03029
A0A026WRE6	ko00000
A0A026WRE6	ko01000
A0A026WRE6	ko01001
A0A026WRE6	ko01009
A0A3L8DGT6	br01610
A0A3L8DGT6	ko00000
A0A3L8DGT6	ko00001
A0A3L8DGT6	ko00002
A0A3L8DGT6	ko03011
A0A026X179	ko00000
A0A026X179	ko00001
A0A026X179	ko00002
A0A026X179	ko01000
A0A3L8DF73	ko00000
A0A3L8DF73	ko00001
A0A3L8DF73	ko04131
A0A3L8DYE1	ko00000
A0A3L8DYE1	ko03036
A0A026WP99	ko00000
A0A026WP99	ko03036
A0A026WFJ2	ko00000
A0A026WFJ2	ko00001
A0A026WFJ2	ko04040
A0A3L8DJ91	ko00000
A0A3L8DJ91	ko04131
A0A3L8DXB0	ko00000
A0A3L8DXB0	ko03400
A0A3L8DVF2	ko00000
A0A3L8DVF2	ko00001
A0A3L8DVF2	ko00002
A0A3L8DVF2	ko01000
A0A3L8DVF2	ko04147
A0A026W3Z9	ko00000
A0A026W3Z9	ko00199
A0A026W3Z9	ko01000
A0A3L8DWG7	ko00000
A0A3L8DWG7	ko00001
A0A3L8DWG7	ko01000
A0A3L8DWG7	ko01001
A0A026WG32	ko00000
A0A026WG32	ko00001
A0A026WG32	ko03009
A0A026W5Q2	ko00000
A0A026W5Q2	ko01000
A0A026W5Q2	ko03012
A0A026WF18	ko00000
A0A026WF18	ko03009
A0A026WB60	ko00000
A0A026WB60	ko01000
A0A026WRR9	ko00000
A0A026WRR9	ko00001
A0A026WRR9	ko01009
A0A026WRR9	ko03036
A0A026VVZ0	ko00000
A0A026VVZ0	ko04131
A0A026VVZ0	ko04147
A0A3L8DHZ7	ko00000
A0A3L8DHZ7	ko04131
A0A026VV59	ko00000
A0A026VV59	ko04131
A0A3L8E3N5	ko00000
A0A3L8E3N5	ko00001
A0A3L8E3N5	ko01000
A0A3L8E3N5	ko01002
A0A3L8E3N5	ko04090
A0A3L8E3N5	ko04131
A0A3L8E3N5	ko04147
A0A3L8DI84	ko00000
A0A3L8DI84	ko00001
A0A3L8DI84	ko01009
A0A3L8DI84	ko03036
A0A3L8DPQ8	ko00000
A0A3L8DPQ8	ko01002
A0A026VX18	ko00000
A0A026VX18	ko00001
A0A026VX18	ko03000
A0A3L8DP85	ko00000
A0A3L8DP85	ko00001
A0A3L8DP85	ko00002
A0A3L8DW02	ko00000
A0A3L8DW02	ko00001
A0A3L8DW02	ko04516
A0A3L8DNF2	ko00000
A0A3L8DNF2	ko03400
A0A026VRR0	ko00000
A0A026VRR0	ko03036
A0A3L8DC59	ko00000
A0A3L8DC59	ko04131
A0A3L8D998	ko00000
A0A3L8D998	ko03036
A0A3L8D998	ko04812
A0A3L8D6B7	ko00000
A0A3L8D6B7	ko00001
A0A3L8D6B7	ko01000
A0A3L8D6B7	ko04121
A0A3L8DVE4	ko00000
A0A3L8DVE4	ko00001
A0A3L8DVE4	ko03021
A0A3L8D794	ko00000
A0A3L8D794	ko00001
A0A3L8D794	ko00002
A0A3L8D794	ko01000
A0A3L8D794	ko01007
A0A026VS23	ko00000
A0A026VS23	ko00001
A0A026VS23	ko00002
A0A026VS23	ko01000
A0A026VUV7	ko00000
A0A026VUV7	ko04121
A0A3L8DCP0	ko00000
A0A3L8DCP0	ko00001
A0A3L8DCP0	ko00002
A0A3L8DCP0	ko01009
A0A3L8DCP0	ko03009
A0A3L8DCP0	ko03029
A0A3L8DCP0	ko03041
A0A3L8DCP0	ko03051
A0A3L8DCP0	ko03110
A0A3L8DCP0	ko04131
A0A3L8DCP0	ko04147
A0A3L8DCP0	ko04516
A0A3L8DNX7	br01610
A0A3L8DNX7	ko00000
A0A3L8DNX7	ko00001
A0A3L8DNX7	ko00002
A0A3L8DNX7	ko03011
A0A3L8D9Q1	ko00000
A0A3L8D9Q1	ko00001
A0A3L8D9Q1	ko03036
A0A3L8D9Q1	ko04031
A0A3L8D9Q1	ko04131
A0A3L8D9Q1	ko04147
A0A3L8DL91	ko00000
A0A3L8DL91	ko03009
A0A3L8DL91	ko03036
A0A3L8E2N2	ko00000
A0A3L8E2N2	ko04131
A0A3L8DNC3	ko00000
A0A3L8E4B0	ko00000
A0A3L8E4B0	ko00001
A0A3L8E4B0	ko02000
A0A3L8E033	ko00000
A0A3L8E033	ko00001
A0A3L8E033	ko03000
A0A026WS87	ko00000
A0A026WS87	ko03041
A0A026WHP9	ko00000
A0A026WHP9	ko00001
A0A026WHP9	ko01000
A0A026WHP9	ko04121
A0A026WUF4	ko00000
A0A026WUF4	ko00001
A0A026WUF4	ko00002
A0A026WUF4	ko03019
A0A026WUF4	ko03041
A0A026W9W0	ko00000
A0A026W9W0	ko00001
A0A026W9W0	ko01000
A0A3L8DG41	ko00000
A0A3L8DG41	ko03036
A0A3L8DG41	ko04031
A0A026WYU4	ko00000
A0A026WYU4	ko00001
A0A026WYU4	ko04131
A0A026WYL3	ko00000
A0A026WYL3	ko00001
A0A026WYL3	ko00002
A0A026WYL3	ko03036
A0A026WYL3	ko04121
A0A026WPZ0	ko00000
A0A026WPZ0	ko00001
A0A026WPZ0	ko01000
A0A026VXS5	ko00000
A0A026VXS5	ko00001
A0A026VXS5	ko01000
A0A3L8DCB4	ko00000
A0A3L8DCB4	ko02000
A0A026WAK8	ko00000
A0A026WAK8	ko00001
A0A026WAK8	ko01009
A0A026WAK8	ko03036
A0A026WAK8	ko04131
A0A026WAK8	ko04147
A0A026WIZ4	ko00000
A0A026WIZ4	ko00001
A0A026WIZ4	ko00002
A0A026WIZ4	ko01000
A0A026WIZ4	ko01003
A0A026VZU6	ko00000
A0A026VZU6	ko00001
A0A3L8DPD3	ko00000
A0A3L8DPD3	ko01000
A0A3L8DPD3	ko04121
A0A026WEA6	ko00000
A0A026WEA6	ko00001
A0A026WEA6	ko01000
A0A026WEA6	ko03036
A0A026WUL3	ko00000
A0A026WUL3	ko01000
A0A026WUL3	ko03016
A0A3L8DJT1	ko00000
A0A3L8DJT1	ko00001
A0A3L8DJT1	ko03009
A0A026WKK6	ko00000
A0A026WKK6	ko00001
A0A026WKK6	ko01000
A0A026WKK6	ko01002
A0A3L8DGM2	ko00000
A0A3L8DGM2	ko04131
A0A3L8DNA7	ko00000
A0A3L8DNA7	ko00001
A0A3L8D692	ko00000
A0A3L8D692	ko04040
A0A026WQS8	ko00000
A0A026WQS8	ko00001
A0A026WQS8	ko03019
A0A026WQS8	ko03036
A0A026WQS8	ko04121
A0A026W5B3	ko00000
A0A026W5B3	ko00001
A0A3L8DN57	ko00000
A0A3L8DN57	ko00001
A0A3L8DN57	ko03029
A0A3L8DN57	ko04131
A0A3L8E096	ko00000
A0A3L8E096	ko00001
A0A3L8E096	ko03000
A0A3L8DTG2	ko00000
A0A3L8DTG2	ko00001
A0A3L8DTG2	ko01000
A0A3L8DTG2	ko04147
A0A026X2V1	ko00000
A0A026X2V1	ko03036
A0A3L8DJY4	ko00000
A0A3L8DJY4	ko00001
A0A3L8DJY4	ko00002
A0A3L8DJY4	ko01000
A0A3L8DJY4	ko01001
A0A3L8DJY4	ko03400
A0A026VZ67	ko00000
A0A026VZ67	ko00001
A0A026VZ67	ko04090
A0A026VZ67	ko04147
A0A026X377	ko00000
A0A026X377	ko00001
A0A026X377	ko00002
A0A026X377	ko01000
A0A026X377	ko02000
A0A3L8DTQ5	ko00000
A0A3L8DTQ5	ko02000
A0A026WL11	ko00000
A0A026WL11	ko00001
A0A026WL11	ko01000
A0A026WL11	ko03019
A0A026WL11	ko04121
A0A026VV78	ko00000
A0A026VV78	ko00001
A0A026VV78	ko04030
A0A026WGB1	ko00000
A0A026WGB1	ko01000
A0A026WGB1	ko03029
A0A026WGB1	ko03032
A0A026WQ06	ko00000
A0A026WQ06	ko01000
A0A3L8DKJ7	ko00000
A0A3L8DKJ7	ko04030
A0A026VRQ9	ko00000
A0A026VRQ9	ko04131
A0A026X2S0	ko00000
A0A026X2S0	ko01000
A0A026X2S0	ko03016
A0A026WU85	ko00000
A0A026WU85	ko00001
A0A026WU85	ko01000
A0A026WLA3	ko00000
A0A026WLA3	ko04121
A0A026WGL9	ko00000
A0A026WGL9	ko01000
A0A026WGL9	ko01002
A0A026VST4	ko00000
A0A026VST4	ko00001
A0A026VST4	ko01000
A0A026VST4	ko03009
A0A026VST4	ko03016
A0A026VST4	ko03029
A0A026WZJ5	ko00000
A0A026WZJ5	ko04812
A0A026WZT3	ko00000
A0A026WZT3	ko03036
A0A026VXH2	ko00000
A0A026VXH2	ko00001
A0A026VXH2	ko00002
K4PJL1	ko00000
K4PJL1	ko00001
K4PJL1	ko00002
K4PJL1	ko03029
A0A026WJ53	ko00000
A0A026WJ53	ko00001
A0A026WJ53	ko00002
A0A026WJ53	ko01000
A0A026WJ53	ko04121
A0A026WQZ1	ko00000
A0A026WQZ1	ko00001
A0A026WQZ1	ko03110
A0A026WQZ1	ko04147
A0A026X242	ko00000
A0A026X242	ko00001
A0A026X242	ko00002
A0A026X242	ko01000
A0A026X242	ko04131
A0A026X3Y1	ko00000
A0A026X3Y1	ko00001
A0A026X3Y1	ko03019
A0A026WLV9	ko00000
A0A026WLV9	ko03029
A0A026WLV9	ko03110
A0A026WCP5	ko00000
A0A026WCP5	ko02000
A0A026VT54	ko00000
A0A026VT54	ko03041
A0A3L8DS97	ko00000
A0A3L8DS97	ko00001
A0A3L8DS97	ko01000
A0A3L8DS97	ko01009
A0A026WAC1	ko00000
A0A026WAC1	ko00001
A0A026WAC1	ko01000
A0A026X0I4	ko00000
A0A026X0I4	ko00001
A0A026X0I4	ko00002
A0A026X0I4	ko03019
A0A026X0I4	ko03036
A0A3L8DZL0	ko00000
A0A3L8DZL0	ko00001
A0A3L8DYU9	ko00000
A0A3L8DYU9	ko00001
A0A3L8DYU9	ko01000
A0A3L8DYU9	ko01002
A0A3L8DYU9	ko04090
A0A3L8DYU9	ko04131
A0A3L8DYU9	ko04147
A0A3L8DZZ6	ko00000
A0A3L8DZZ6	ko04040
A0A026WJE1	ko00000
A0A026WJE1	ko00001
A0A026WJE1	ko04030
A0A3L8E4I1	ko00000
