category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology
GO:0016137	0.0242462539673662	0.999804367276121	1	3	glycoside metabolic process	BP
GO:0016139	0.0242462539673662	0.999804367276121	1	3	glycoside catabolic process	BP
GO:0019430	0.0242462539673662	0.999804367276121	1	3	removal of superoxide radicals	BP
GO:0046352	0.0242462539673662	0.999804367276121	1	3	disaccharide catabolic process	BP
GO:0060575	0.0242462539673662	0.999804367276121	1	3	intestinal epithelial cell differentiation	BP
GO:0071450	0.0242462539673662	0.999804367276121	1	3	cellular response to oxygen radical	BP
GO:0071451	0.0242462539673662	0.999804367276121	1	3	cellular response to superoxide	BP
GO:1903054	0.0242462539673662	0.999804367276121	1	3	negative regulation of extracellular matrix organization	BP
GO:0035296	0.0246068003252825	0.998195463246745	2	30	regulation of tube diameter	BP
GO:0031348	0.0261668397893393	0.998013771903541	2	31	negative regulation of defense response	BP
GO:0046916	0.0261668397893393	0.998013771903541	2	31	cellular transition metal ion homeostasis	BP
GO:0090066	0.0263228760256699	0.991490794435162	7	358	regulation of anatomical structure size	BP
GO:0005975	0.0276448064216082	0.992962522736716	5	209	carbohydrate metabolic process	BP
GO:0035215	0.0282135997119245	0.99577268901396	3	81	genital disc development	BP
GO:0002832	0.0294036594259225	0.997617154985173	2	33	negative regulation of response to biotic stimulus	BP
GO:0002238	0.0321986072357659	0.999610805837833	1	4	response to molecule of fungal origin	BP
GO:0006117	0.0321986072357659	0.999610805837833	1	4	acetaldehyde metabolic process	BP
GO:0006145	0.0321986072357659	0.999610805837833	1	4	purine nucleobase catabolic process	BP
GO:0009115	0.0321986072357659	0.999610805837833	1	4	xanthine catabolic process	BP
GO:0009595	0.0321986072357659	0.999610805837833	1	4	detection of biotic stimulus	BP
GO:0032491	0.0321986072357659	0.999610805837833	1	4	detection of molecule of fungal origin	BP
GO:0035009	0.0321986072357659	0.999610805837833	1	4	negative regulation of melanization defense response	BP
GO:0046110	0.0321986072357659	0.999610805837833	1	4	xanthine metabolic process	BP
GO:0098581	0.0321986072357659	0.999610805837833	1	4	detection of external biotic stimulus	BP
GO:1903430	0.0321986072357659	0.999610805837833	1	4	negative regulation of cell maturation	BP
GO:0050777	0.0345400073398204	0.996935856671853	2	36	negative regulation of immune response	BP
GO:0098869	0.0363242877109207	0.996684899154434	2	37	cellular oxidant detoxification	BP
GO:1990748	0.0363242877109207	0.996684899154434	2	37	cellular detoxification	BP
GO:0048565	0.0375017226477458	0.991455521511076	4	155	digestive tract development	BP
GO:0055123	0.0375017226477458	0.991455521511076	4	155	digestive system development	BP
GO:0016476	0.0381435086685833	0.996421689527007	2	38	regulation of embryonic cell shape	BP
GO:1901564	0.0391846512806744	0.976657888740285	35	3313	organonitrogen compound metabolic process	BP
GO:0009100	0.0397961310101934	0.9907597682494	4	158	glycoprotein metabolic process	BP
GO:0034599	0.0399969980210333	0.996146044351743	2	39	cellular response to oxidative stress	BP
GO:0000305	0.0400869527702681	0.999354774902243	1	5	response to oxygen radical	BP
GO:0002220	0.0400869527702681	0.999354774902243	1	5	innate immune response activating cell surface receptor signaling pathway	BP
GO:0002429	0.0400869527702681	0.999354774902243	1	5	immune response-activating cell surface receptor signaling pathway	BP
GO:0002752	0.0400869527702681	0.999354774902243	1	5	cell surface pattern recognition receptor signaling pathway	BP
GO:0006801	0.0400869527702681	0.999354774902243	1	5	superoxide metabolic process	BP
GO:0007496	0.0400869527702681	0.999354774902243	1	5	anterior midgut development	BP
GO:0035007	0.0400869527702681	0.999354774902243	1	5	regulation of melanization defense response	BP
GO:0071216	0.0400869527702681	0.999354774902243	1	5	cellular response to biotic stimulus	BP
GO:0071219	0.0400869527702681	0.999354774902243	1	5	cellular response to molecule of bacterial origin	BP
GO:0071222	0.0400869527702681	0.999354774902243	1	5	cellular response to lipopolysaccharide	BP
GO:0006997	0.0444859538129009	0.99201648006238	3	97	nucleus organization	BP
GO:0007338	0.0477404873533075	0.994915673817924	2	43	single fertilization	BP
GO:0015988	0.0477404873533075	0.994915673817924	2	43	energy coupled proton transmembrane transport, against electrochemical gradient	BP
GO:0062197	0.0477404873533075	0.994915673817924	2	43	cellular response to chemical stress	BP
GO:0002213	0.0479117992934368	0.999037279845576	1	6	defense response to insect	BP
GO:0033499	0.0479117992934368	0.999037279845576	1	6	galactose catabolic process via UDP-galactose	BP
GO:0042816	0.0479117992934368	0.999037279845576	1	6	vitamin B6 metabolic process	BP
GO:0048010	0.0479117992934368	0.999037279845576	1	6	vascular endothelial growth factor receptor signaling pathway	BP
GO:2000683	0.0479117992934368	0.999037279845576	1	6	regulation of cellular response to X-ray	BP
GO:0048546	0.0491474847414132	0.990819017288469	3	101	digestive tract morphogenesis	BP
GO:0010038	0.0497555263752009	0.994575332106452	2	44	response to metal ion	BP
GO:0008360	0.051564823434838	0.990178628572939	3	103	regulation of cell shape	BP
GO:0055076	0.0518009737537607	0.994221592263836	2	45	transition metal ion homeostasis	BP
GO:0043086	0.0527949016173081	0.989847808708324	3	104	negative regulation of catalytic activity	BP
GO:1902600	0.0540391583522493	0.989509827370694	3	105	proton transmembrane transport	BP
GO:0006013	0.0556736515360257	0.998659314162097	1	7	mannose metabolic process	BP
GO:0022617	0.0556736515360257	0.998659314162097	1	7	extracellular matrix disassembly	BP
GO:0009566	0.0559806401609442	0.993473370201824	2	47	fertilization	BP
GO:0007614	0.0581136518556562	0.99307862881743	2	48	short-term memory	BP
GO:0097237	0.0581136518556562	0.99307862881743	2	48	cellular response to toxic substance	BP
GO:0006665	0.0602746570732855	0.992669970758634	2	49	sphingolipid metabolic process	BP
GO:0007275	0.0619655226191379	0.961481436406418	34	3309	multicellular organism development	BP
GO:0019318	0.0624630711510191	0.992247280792319	2	50	hexose metabolic process	BP
GO:0002757	0.0633730102678967	0.998221859587071	1	8	immune response-activating signal transduction	BP
GO:0002758	0.0633730102678967	0.998221859587071	1	8	innate immune response-activating signal transduction	BP
GO:0006767	0.0633730102678967	0.998221859587071	1	8	water-soluble vitamin metabolic process	BP
GO:0007561	0.0633730102678967	0.998221859587071	1	8	imaginal disc eversion	BP
GO:0019388	0.0633730102678967	0.998221859587071	1	8	galactose catabolic process	BP
GO:0035001	0.0633730102678967	0.998221859587071	1	8	dorsal trunk growth, open tracheal system	BP
GO:0046113	0.0633730102678967	0.998221859587071	1	8	nucleobase catabolic process	BP
GO:0048802	0.0633730102678967	0.998221859587071	1	8	notum morphogenesis	BP
GO:0000737	0.0669198244311428	0.99135937186753	2	52	DNA catabolic process, endonucleolytic	BP
GO:0001306	0.0710103723287027	0.997725886218552	1	9	age-dependent response to oxidative stress	BP
GO:0002768	0.0710103723287027	0.997725886218552	1	9	immune response-regulating cell surface receptor signaling pathway	BP
GO:0006144	0.0710103723287027	0.997725886218552	1	9	purine nucleobase metabolic process	BP
GO:0007571	0.0710103723287027	0.997725886218552	1	9	age-dependent general metabolic decline	BP
GO:0032496	0.0710103723287027	0.997725886218552	1	9	response to lipopolysaccharide	BP
GO:0043455	0.0710103723287027	0.997725886218552	1	9	regulation of secondary metabolic process	BP
GO:1903146	0.0710103723287027	0.997725886218552	1	9	regulation of autophagy of mitochondrion	BP
GO:0031347	0.0714696355917377	0.984439790029432	3	118	regulation of defense response	BP
GO:0010035	0.0729040921679655	0.983996018689072	3	119	response to inorganic substance	BP
GO:0000041	0.0737963286366002	0.989919702240794	2	55	transition metal ion transport	BP
GO:0006664	0.0761373298772818	0.989410704861806	2	56	glycolipid metabolic process	BP
GO:1903509	0.0761373298772818	0.989410704861806	2	56	liposaccharide metabolic process	BP
GO:0005996	0.078501851648526	0.988887018831933	2	57	monosaccharide metabolic process	BP
GO:0002237	0.0785862306583362	0.997172352637998	1	10	response to molecule of bacterial origin	BP
GO:0005991	0.0785862306583362	0.997172352637998	1	10	trehalose metabolic process	BP
GO:0006012	0.0785862306583362	0.997172352637998	1	10	galactose metabolic process	BP
GO:0006766	0.0785862306583362	0.997172352637998	1	10	vitamin metabolic process	BP
GO:0030277	0.0785862306583362	0.997172352637998	1	10	maintenance of gastrointestinal epithelium	BP
GO:0060729	0.0785862306583362	0.997172352637998	1	10	intestinal epithelial structure maintenance	BP
GO:0061028	0.0785862306583362	0.997172352637998	1	10	establishment of endothelial barrier	BP
GO:0071481	0.0785862306583362	0.997172352637998	1	10	cellular response to X-ray	BP
GO:1901658	0.0785862306583362	0.997172352637998	1	10	glycosyl compound catabolic process	BP
GO:1903035	0.0785862306583362	0.997172352637998	1	10	negative regulation of response to wounding	BP
GO:0045087	0.0789953794894601	0.977032080672715	4	199	innate immune response	BP
GO:0006308	0.080889366727889	0.988348570573638	2	58	DNA catabolic process	BP
GO:0008063	0.0832993547284379	0.987795291287753	2	59	Toll signaling pathway	BP
GO:0050832	0.0832993547284379	0.987795291287753	2	59	defense response to fungus	BP
GO:0006309	0.0861010743271437	0.996562206029739	1	11	apoptotic DNA fragmentation	BP
GO:0006921	0.0861010743271437	0.996562206029739	1	11	cellular component disassembly involved in execution phase of apoptosis	BP
GO:0030262	0.0861010743271437	0.996562206029739	1	11	apoptotic nuclear changes	BP
GO:0042381	0.0861010743271437	0.996562206029739	1	11	hemolymph coagulation	BP
GO:0045751	0.0861010743271437	0.996562206029739	1	11	negative regulation of Toll signaling pathway	BP
GO:0055006	0.0861010743271437	0.996562206029739	1	11	cardiac cell development	BP
GO:0055013	0.0861010743271437	0.996562206029739	1	11	cardiac muscle cell development	BP
GO:0050776	0.092694855882871	0.977493111090342	3	132	regulation of immune response	BP
GO:0016052	0.0931538633192166	0.985432650075373	2	63	carbohydrate catabolic process	BP
GO:0072553	0.0931538633192166	0.985432650075373	2	63	terminal button organization	BP
GO:0002764	0.0935553885659109	0.995896382299295	1	12	immune response-regulating signaling pathway	BP
GO:0007289	0.0935553885659109	0.995896382299295	1	12	spermatid nucleus differentiation	BP
GO:0009608	0.0935553885659109	0.995896382299295	1	12	response to symbiont	BP
GO:0034614	0.0935553885659109	0.995896382299295	1	12	cellular response to reactive oxygen species	BP
GO:0045454	0.0935553885659109	0.995896382299295	1	12	cell redox homeostasis	BP
GO:0048104	0.0935553885659109	0.995896382299295	1	12	establishment of body hair or bristle planar orientation	BP
GO:0072523	0.0935553885659109	0.995896382299295	1	12	purine-containing compound catabolic process	BP
GO:0002831	0.0943017033531823	0.976935201163953	3	133	regulation of response to biotic stimulus	BP
GO:0044092	0.0975499839940561	0.975794165641633	3	135	negative regulation of molecular function	BP
GO:0060560	0.0991912089093883	0.975210987252337	3	136	developmental growth involved in morphogenesis	BP
GO:0000023	0.100949654795617	0.995175806190562	1	13	maltose metabolic process	BP
GO:0002027	0.100949654795617	0.995175806190562	1	13	regulation of heart rate	BP
GO:0002218	0.100949654795617	0.995175806190562	1	13	activation of innate immune response	BP
GO:0019320	0.100949654795617	0.995175806190562	1	13	hexose catabolic process	BP
GO:0043171	0.100949654795617	0.995175806190562	1	13	peptide catabolic process	BP
GO:0046365	0.100949654795617	0.995175806190562	1	13	monosaccharide catabolic process	BP
GO:0048526	0.100949654795617	0.995175806190562	1	13	imaginal disc-derived wing expansion	BP
GO:0055007	0.100949654795617	0.995175806190562	1	13	cardiac muscle cell differentiation	BP
GO:0040014	0.103328035188166	0.982828390173231	2	67	regulation of multicellular organism growth	BP
GO:0035295	0.106371269561658	0.941236702286602	13	1098	tube development	BP
GO:0001885	0.108284350656962	0.99440139140187	1	14	endothelial cell development	BP
GO:0003158	0.108284350656962	0.99440139140187	1	14	endothelium development	BP
GO:0045446	0.108284350656962	0.99440139140187	1	14	endothelial cell differentiation	BP
GO:1903053	0.108284350656962	0.99440139140187	1	14	regulation of extracellular matrix organization	BP
GO:0035264	0.111150228394804	0.980715211330886	2	70	multicellular organism growth	BP
GO:0007411	0.111893544895158	0.953500983523091	6	405	axon guidance	BP
GO:0006950	0.113884863914584	0.933915036658793	15	1324	response to stress	BP
GO:0007548	0.11445572092979	0.969578410440901	3	145	sex differentiation	BP
GO:0002253	0.115559950039669	0.993574040700937	1	15	activation of immune response	BP
GO:0006081	0.115559950039669	0.993574040700937	1	15	cellular aldehyde metabolic process	BP
GO:0035039	0.115559950039669	0.993574040700937	1	15	male pronucleus assembly	BP
GO:0035041	0.115559950039669	0.993574040700937	1	15	sperm chromatin decondensation	BP
GO:0044242	0.116449449697358	0.979229883291898	2	72	cellular lipid catabolic process	BP
GO:0032101	0.116449796752473	0.961276692834921	4	229	regulation of response to external stimulus	BP
GO:0002683	0.1218121370087	0.977683194322908	2	74	negative regulation of immune system process	BP
GO:0048149	0.1218121370087	0.977683194322908	2	74	behavioral response to ethanol	BP
GO:0097485	0.121821729723957	0.948194917183242	6	415	neuron projection guidance	BP
GO:0010165	0.122776923111561	0.992694646038707	1	16	response to X-ray	BP
GO:0061327	0.122776923111561	0.992694646038707	1	16	anterior Malpighian tubule development	BP
GO:0048619	0.127234902370137	0.976075099423361	2	76	embryonic hindgut morphogenesis	BP
GO:0099172	0.127234902370137	0.976075099423361	2	76	presynapse organization	BP
GO:0042742	0.128725856582777	0.963984094721398	3	153	defense response to bacterium	BP
GO:0007394	0.129935736347415	0.9917640886621	1	17	dorsal closure, elongation of leading edge cells	BP
GO:0060439	0.129935736347415	0.9917640886621	1	17	trachea morphogenesis	BP
GO:0090251	0.129935736347415	0.9917640886621	1	17	protein localization involved in establishment of planar polarity	BP
GO:0007424	0.130041077284494	0.948673816000607	5	329	open tracheal system development	BP
GO:0042330	0.132153219357556	0.938451810192259	7	522	taxis	BP
GO:0080134	0.133660723495995	0.946793612816301	5	332	regulation of response to stress	BP
GO:0001746	0.137036852557597	0.990783239225684	1	18	Bolwig's organ morphogenesis	BP
GO:0055034	0.137036852557597	0.990783239225684	1	18	Bolwig's organ development	BP
GO:0044270	0.13911075075826	0.950696449871095	4	245	cellular nitrogen compound catabolic process	BP
GO:0046700	0.13911075075826	0.950696449871095	4	245	heterocycle catabolic process	BP
GO:0006935	0.139674969590511	0.938319149200667	6	432	chemotaxis	BP
GO:0007477	0.144080730916478	0.98975295790226	1	19	notum development	BP
GO:0061041	0.144080730916478	0.98975295790226	1	19	regulation of wound healing	BP
GO:0098662	0.144791330099343	0.940901268761376	5	341	inorganic cation transmembrane transport	BP
GO:0022411	0.147403209726797	0.956204461890361	3	163	cellular component disassembly	BP
GO:0019725	0.149550735409122	0.945577796802356	4	252	cellular homeostasis	BP
GO:0019439	0.151066764864825	0.944822098208431	4	253	aromatic compound catabolic process	BP
GO:0035158	0.151067826990629	0.988674094492395	1	20	regulation of tube diameter, open tracheal system	BP
GO:0042045	0.151067826990629	0.988674094492395	1	20	epithelial fluid transport	BP
GO:0070633	0.151067826990629	0.988674094492395	1	20	transepithelial transport	BP
GO:0060541	0.151146047584104	0.937463921312515	5	346	respiratory system development	BP
GO:1901615	0.151241756925065	0.954543290800966	3	165	organic hydroxy compound metabolic process	BP
GO:0007442	0.155137562914281	0.967115641061904	2	86	hindgut morphogenesis	BP
GO:0061525	0.155137562914281	0.967115641061904	2	86	hindgut development	BP
GO:0048856	0.156549716138473	0.891826894674085	35	3700	anatomical structure development	BP
GO:0002221	0.157998592766805	0.987547488532893	1	21	pattern recognition receptor signaling pathway	BP
GO:0022600	0.157998592766805	0.987547488532893	1	21	digestive system process	BP
GO:0071479	0.157998592766805	0.987547488532893	1	21	cellular response to ionizing radiation	BP
GO:1901361	0.160287263987295	0.940159394872816	4	259	organic cyclic compound catabolic process	BP
GO:0071345	0.164873476679712	0.986373969404226	1	22	cellular response to cytokine stimulus	BP
GO:0016063	0.171692923639559	0.985154356436927	1	23	rhodopsin biosynthetic process	BP
GO:0006643	0.175310976509757	0.959941416718503	2	93	membrane lipid metabolic process	BP
GO:0031570	0.175310976509757	0.959941416718503	2	93	DNA integrity checkpoint	BP
GO:0051651	0.175310976509757	0.959941416718503	2	93	maintenance of location in cell	BP
GO:0042221	0.176694428747299	0.889659312305535	15	1425	response to chemical	BP
GO:0014041	0.178457375059407	0.983889459016955	1	24	regulation of neuron maturation	BP
GO:0018990	0.178457375059407	0.983889459016955	1	24	ecdysis, chitin-based cuticle	BP
GO:0061057	0.178457375059407	0.983889459016955	1	24	peptidoglycan recognition protein signaling pathway	BP
GO:1904799	0.178457375059407	0.983889459016955	1	24	regulation of neuron remodeling	BP
GO:0030162	0.18099869942481	0.94097025652547	3	180	regulation of proteolysis	BP
GO:0018958	0.184083881936249	0.956642987440974	2	96	phenol-containing compound metabolic process	BP
GO:0007320	0.185167268882301	0.982580076690051	1	25	insemination	BP
GO:0007392	0.185167268882301	0.982580076690051	1	25	initiation of dorsal closure	BP
GO:0046692	0.185167268882301	0.982580076690051	1	25	sperm competition	BP
GO:0006875	0.187022785686215	0.955514046187099	2	97	cellular metal ion homeostasis	BP
GO:0000184	0.191823039608196	0.981226999265074	1	26	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	BP
GO:0006491	0.191823039608196	0.981226999265074	1	26	N-glycan processing	BP
GO:0015985	0.191823039608196	0.981226999265074	1	26	energy coupled proton transport, down electrochemical gradient	BP
GO:0015986	0.191823039608196	0.981226999265074	1	26	ATP synthesis coupled proton transport	BP
GO:0034097	0.191823039608196	0.981226999265074	1	26	response to cytokine	BP
GO:0044706	0.191823039608196	0.981226999265074	1	26	multi-multicellular organism process	BP
GO:0046154	0.191823039608196	0.981226999265074	1	26	rhodopsin metabolic process	BP
GO:0048738	0.191823039608196	0.981226999265074	1	26	cardiac muscle tissue development	BP
GO:0016042	0.195879033130636	0.952039639081257	2	100	lipid catabolic process	BP
GO:0006584	0.198425118320679	0.979831006916357	1	27	catecholamine metabolic process	BP
GO:0007586	0.198425118320679	0.979831006916357	1	27	digestion	BP
GO:0009712	0.198425118320679	0.979831006916357	1	27	catechol-containing compound metabolic process	BP
GO:0034620	0.198425118320679	0.979831006916357	1	27	cellular response to unfolded protein	BP
GO:0045471	0.201813193077466	0.949651005264418	2	102	response to ethanol	BP
GO:0035239	0.20306224894773	0.88524769235765	9	801	tube morphogenesis	BP
GO:0042048	0.204788408317914	0.948435176565162	2	103	olfactory behavior	BP
GO:0006986	0.204973932713484	0.978392870285053	1	28	response to unfolded protein	BP
GO:0008592	0.204973932713484	0.978392870285053	1	28	regulation of Toll signaling pathway	BP
GO:0035099	0.204973932713484	0.978392870285053	1	28	hemocyte migration	BP
GO:0042044	0.204973932713484	0.978392870285053	1	28	fluid transport	BP
GO:0045938	0.204973932713484	0.978392870285053	1	28	positive regulation of circadian sleep/wake cycle, sleep	BP
GO:0098660	0.207381257657826	0.904862161059432	5	387	inorganic ion transmembrane transport	BP
GO:0007160	0.211469907116806	0.976913350579519	1	29	cell-matrix adhesion	BP
GO:0009453	0.211469907116806	0.976913350579519	1	29	energy taxis	BP
GO:0042331	0.211469907116806	0.976913350579519	1	29	phototaxis	BP
GO:0016311	0.214323768973474	0.924358436715853	3	196	dephosphorylation	BP
GO:0098655	0.216154541920611	0.899438836721198	5	393	cation transmembrane transport	BP
